id_test,function_name,array_length,comparison,time,space
54,sequantial_search,201000,201000,0.25786638259887695,0.0
54,advanced_sequantial_search,201000,54090,0.2152080535888672,0.0
54,binary_search,201000,52,0.20227456092834473,0.0
55,sequantial_search,221000,221000,0.24756479263305664,0.00390625
55,advanced_sequantial_search,221000,61378,0.2354578971862793,0.0
55,binary_search,221000,52,0.20194697380065918,0.0
56,sequantial_search,221000,221000,0.24286150932312012,0.0
56,advanced_sequantial_search,221000,150656,0.25080108642578125,0.0
56,binary_search,221000,52,0.20194697380065918,0.0
57,sequantial_search,221000,221000,0.2607595920562744,0.0
57,advanced_sequantial_search,221000,20244,0.21744346618652344,0.0
57,binary_search,221000,52,0.20158028602600098,0.0
58,sequantial_search,221000,221000,0.25781989097595215,0.0
58,advanced_sequantial_search,221000,223122,0.24710750579833984,0.0
58,binary_search,221000,52,0.20184993743896484,0.0
59,sequantial_search,221000,221000,0.25493907928466797,0.0
59,advanced_sequantial_search,221000,265672,0.2761049270629883,0.0
59,binary_search,221000,52,0.2022247314453125,0.0
60,sequantial_search,241000,33328,0.21097421646118164,0.0
60,advanced_sequantial_search,241000,66655,0.21962809562683105,0.0
60,binary_search,241000,50,0.20192718505859375,0.0
61,sequantial_search,241000,241000,0.26692771911621094,0.0
61,advanced_sequantial_search,241000,382754,0.26889705657958984,0.0
61,binary_search,241000,52,0.20203065872192383,0.0
62,sequantial_search,241000,241000,0.24266433715820312,0.0
62,advanced_sequantial_search,241000,334002,0.26386117935180664,0.0
62,binary_search,241000,52,0.20167088508605957,0.0
63,sequantial_search,241000,241000,0.2670762538909912,0.0
63,advanced_sequantial_search,241000,175366,0.2551543712615967,0.0
63,binary_search,241000,52,0.20166492462158203,0.0
64,sequantial_search,241000,129566,0.2312312126159668,0.0
64,advanced_sequantial_search,241000,259131,0.24918293952941895,0.0
64,binary_search,241000,44,0.20210504531860352,0.0
65,sequantial_search,261000,261000,0.24882268905639648,0.0
65,advanced_sequantial_search,261000,296772,0.27599143981933594,0.0
65,binary_search,261000,52,0.20197558403015137,0.0
66,sequantial_search,261000,225141,0.24442315101623535,0.0
66,advanced_sequantial_search,261000,450281,0.3026585578918457,0.0
66,binary_search,261000,50,0.20232653617858887,0.0
67,sequantial_search,261000,261000,0.2588932514190674,0.0
67,advanced_sequantial_search,261000,382156,0.2750968933105469,0.0
67,binary_search,261000,52,0.20240068435668945,0.0
68,sequantial_search,261000,261000,0.25774407386779785,0.0
68,advanced_sequantial_search,261000,145388,0.25370359420776367,0.0
68,binary_search,261000,52,0.20168781280517578,0.0
69,sequantial_search,261000,121180,0.2279520034790039,0.0
69,advanced_sequantial_search,261000,242359,0.26032257080078125,0.0
69,binary_search,261000,52,0.2014017105102539,0.0
70,sequantial_search,281000,251271,0.2809281349182129,0.0
70,advanced_sequantial_search,281000,502541,0.3430140018463135,0.0
70,binary_search,281000,52,0.20113277435302734,0.0
71,sequantial_search,281000,62151,0.23132061958312988,0.00390625
71,advanced_sequantial_search,281000,124301,0.2283637523651123,0.0
71,binary_search,281000,53,0.2016432285308838,0.0
72,sequantial_search,281000,281000,0.2767958641052246,0.0
72,advanced_sequantial_search,281000,556196,0.3616809844970703,0.0
72,binary_search,281000,55,0.201446533203125,0.0
73,sequantial_search,281000,281000,0.29070305824279785,0.0
73,advanced_sequantial_search,281000,39336,0.2143723964691162,0.0
73,binary_search,281000,55,0.2014782428741455,0.0
74,sequantial_search,281000,281000,0.28995680809020996,0.0
74,advanced_sequantial_search,281000,546338,0.29471778869628906,0.0
74,binary_search,281000,55,0.20230603218078613,0.0
75,sequantial_search,301000,278162,0.25222325325012207,0.0
75,advanced_sequantial_search,301000,556323,0.3270280361175537,0.0
75,binary_search,301000,41,0.20192480087280273,0.0
76,sequantial_search,301000,301000,0.25755882263183594,0.0
76,advanced_sequantial_search,301000,455864,0.30643486976623535,0.0
76,binary_search,301000,52,0.20239472389221191,0.0
77,sequantial_search,301000,301000,0.2524597644805908,0.0
77,advanced_sequantial_search,301000,57490,0.23297572135925293,0.0
77,binary_search,301000,52,0.20154309272766113,0.0
78,sequantial_search,301000,301000,0.2765040397644043,0.0
78,advanced_sequantial_search,301000,329236,0.2618687152862549,0.0
78,binary_search,301000,55,0.2019329071044922,0.0
79,sequantial_search,301000,301000,0.2549765110015869,0.0
79,advanced_sequantial_search,301000,491058,0.29045772552490234,0.0
79,binary_search,301000,52,0.20193743705749512,0.0
80,sequantial_search,321000,169748,0.2322525978088379,0.0
80,advanced_sequantial_search,321000,339495,0.27536487579345703,0.0
80,binary_search,321000,52,0.20282912254333496,0.0
81,sequantial_search,321000,321000,0.26398634910583496,0.0
81,advanced_sequantial_search,321000,456382,0.2855260372161865,0.0
81,binary_search,321000,52,0.2021350860595703,-0.0546875
82,sequantial_search,321000,321000,0.2541327476501465,0.0
82,advanced_sequantial_search,321000,416894,0.30436015129089355,0.0
82,binary_search,321000,52,0.20151472091674805,0.0
83,sequantial_search,321000,171090,0.22927260398864746,0.0
83,advanced_sequantial_search,321000,342179,0.2742750644683838,0.0
83,binary_search,321000,53,0.20159173011779785,0.0
84,sequantial_search,321000,321000,0.2610812187194824,0.0
84,advanced_sequantial_search,321000,195834,0.25850701332092285,0.0
84,binary_search,321000,52,0.20221614837646484,0.0
85,sequantial_search,341000,341000,0.2608621120452881,0.0
85,advanced_sequantial_search,341000,221880,0.2652924060821533,0.0
85,binary_search,341000,55,0.20221328735351562,0.0
86,sequantial_search,341000,100858,0.22058534622192383,0.0
86,advanced_sequantial_search,341000,201715,0.23987317085266113,0.0
86,binary_search,341000,55,0.20207500457763672,0.0
87,sequantial_search,341000,241656,0.24752116203308105,0.00390625
87,advanced_sequantial_search,341000,483311,0.3054988384246826,0.0
87,binary_search,341000,53,0.20197629928588867,0.0
88,sequantial_search,341000,341000,0.286043643951416,0.0
88,advanced_sequantial_search,341000,580200,0.35814905166625977,0.0
88,binary_search,341000,55,0.20098876953125,0.0
89,sequantial_search,341000,341000,0.2823066711425781,0.0
